date,block_time,tx_vol,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,dormancy_1,sdd_1
09/02/06,2009-02-06,610000000000.0,0.0,122.0,0.0,15850000000000.0,0,0,0,-9.71445146547012e-17,-4.57763671875e-05
09/02/07,2009-02-07,764800000000.0,5000000000.0,133.0,0.0,16460000000000.0,115000000000,114800000000,114800000000,1.5168965214537125,1098684490740.7407
09/02/08,2009-02-08,760000000000.0,0.0,133.0,0.0,17105000000000.0,100000000000,100000000000,100000000000,1.0278806584362143,786328703703.7036
09/02/09,2009-02-09,890000000000.0,0.0,135.0,0.0,17765000000000.0,220000000000,220000000000,220000000000,1.5840860518949182,1362314004629.6294
09/02/10,2009-02-10,600000000000.0,0.0,120.0,0.0,18435000000000.0,0,0,0,0.0,-0.000244140625
09/02/11,2009-02-11,720004000000.0,0.0,135.0,0.0,19035000000000.0,55004000000,55004000000,55004000000,0.16722250286604073,119841475462.96272
09/02/12,2009-02-12,595000000000.0,0.0,119.0,0.0,19700000000000.0,0,0,0,0.0,-0.000244140625
09/02/13,2009-02-13,620000000000.0,0.0,124.0,0.0,20295000000000.0,0,0,0,0.0,-0.000244140625
09/02/14,2009-02-14,680000000000.0,0.0,136.0,0.0,20915000000000.0,0,0,0,0.0,-0.000244140625
09/02/15,2009-02-15,730000000000.0,35000000000.0,131.0,0.0,21595000000000.0,55000000000,55000000000,55000000000,0.5708023380871603,369990162037.0368
09/02/16,2009-02-16,760000000000.0,0.0,123.0,0.0,22235000000000.0,150000000000,150000000000,150000000000,0.8213390602453103,632431076388.8887
09/02/17,2009-02-17,585000000000.0,0.0,117.0,0.0,22845000000000.0,0,0,0,0.0,-0.000244140625
09/02/18,2009-02-18,590000000000.0,0.0,118.0,0.0,23430000000000.0,0,0,0,0.0,-0.000244140625
09/02/19,2009-02-19,700000000000.0,0.0,125.0,0.0,24020000000000.0,80000000000,80000000000,80000000000,0.36638897156084654,256472280092.59235
09/02/20,2009-02-20,610000000000.0,0.0,122.0,0.0,24640000000000.0,0,0,0,0.0,-0.000244140625
09/02/21,2009-02-21,570000000000.0,0.0,114.0,0.0,25250000000000.0,0,0,0,0.0,-0.000244140625
09/02/22,2009-02-22,710000000000.0,65000000000.0,125.0,0.0,25820000000000.0,40000000000,40000000000,40000000000,0.2940474705409882,198346469907.40717
09/02/23,2009-02-23,540000000000.0,0.0,108.0,0.0,26425000000000.0,0,0,0,0.0,-0.000244140625
09/02/24,2009-02-24,530000000000.0,0.0,106.0,0.0,26965000000000.0,0,0,0,0.0,-0.000244140625
09/02/25,2009-02-25,525000000000.0,0.0,105.0,0.0,27495000000000.0,0,0,0,0.0,-0.000244140625
09/02/26,2009-02-26,535000000000.0,0.0,107.0,0.0,28020000000000.0,0,0,0,0.0,-0.000244140625
09/02/27,2009-02-27,755000000000.0,0.0,116.0,0.0,28555000000000.0,180000000000,180000000000,180000000000,1.266752698159943,994400868055.555
09/02/28,2009-02-28,530000000000.0,0.0,100.0,0.0,29130000000000.0,35000000000,35000000000,35000000000,0.24758284036351164,133694733796.29602
09/03/01,2009-03-01,525000000000.0,0.0,105.0,0.0,29625000000000.0,0,0,0,-2.7755575615628914e-17,-0.000274658203125
09/03/02,2009-03-02,540000000000.0,0.0,108.0,0.0,30150000000000.0,0,0,0,-2.7755575615628914e-17,-0.000274658203125
09/03/03,2009-03-03,565000000000.0,0.0,107.0,0.0,30690000000000.0,40000000000,40000000000,40000000000,0.2826418331708901,161105844907.40714
09/03/04,2009-03-04,645000000000.0,0.0,106.0,0.0,31215000000000.0,125000000000,125000000000,125000000000,0.7986170408701418,519607696759.259
09/03/05,2009-03-05,600000000000.0,0.0,113.0,0.0,31735000000000.0,40000000000,40000000000,40000000000,0.15536535493827142,93219212962.96265
09/03/06,2009-03-06,585000000000.0,0.0,117.0,0.0,32295000000000.0,0,0,0,-1.6653345369377348e-16,-0.00030517578125
09/03/07,2009-03-07,545000000000.0,0.0,109.0,0.0,32880000000000.0,0,0,0,-1.6653345369377348e-16,-0.00030517578125
09/03/08,2009-03-08,730000000000.0,35000000000.0,118.0,0.0,33425000000000.0,120000000000,120000000000,120000000000,0.8293980312383089,557509490740.7405
09/03/09,2009-03-09,540000000000.0,0.0,108.0,0.0,34000000000000.0,0,0,0,-2.220446049250313e-16,-0.000244140625
09/03/10,2009-03-10,535000000000.0,0.0,107.0,0.0,34540000000000.0,0,0,0,-2.220446049250313e-16,-0.000244140625
09/03/11,2009-03-11,570000000000.0,0.0,114.0,0.0,35075000000000.0,0,0,0,-2.220446049250313e-16,-0.000244140625
09/03/12,2009-03-12,605000000000.0,0.0,119.0,0.0,35645000000000.0,15000000000,15000000000,15000000000,0.0935983499525164,54755034722.22198
